Subject,Start Date,Start Time,End Date,End Time,All Day Event
十齋日,2000/01/04,00:00,2000/01/04,23:59,True
十齋日,2000/01/05,00:00,2000/01/05,23:59,True
十齋日,2000/01/06,00:00,2000/01/06,23:59,True
十齋日,2000/01/07,00:00,2000/01/07,23:59,True
十齋日,2000/01/14,00:00,2000/01/14,23:59,True
十齋日,2000/01/20,00:00,2000/01/20,23:59,True
十齋日,2000/01/21,00:00,2000/01/21,23:59,True
十齋日,2000/01/24,00:00,2000/01/24,23:59,True
十齋日,2000/01/29,00:00,2000/01/29,23:59,True
十齋日,2000/01/30,00:00,2000/01/30,23:59,True
十齋日,2000/02/02,00:00,2000/02/02,23:59,True
十齋日,2000/02/03,00:00,2000/02/03,23:59,True
十齋日,2000/02/04,00:00,2000/02/04,23:59,True
十齋日,2000/02/05,00:00,2000/02/05,23:59,True
十齋日,2000/02/12,00:00,2000/02/12,23:59,True
十齋日,2000/02/18,00:00,2000/02/18,23:59,True
十齋日,2000/02/19,00:00,2000/02/19,23:59,True
十齋日,2000/02/22,00:00,2000/02/22,23:59,True
十齋日,2000/02/27,00:00,2000/02/27,23:59,True
十齋日,2000/02/28,00:00,2000/02/28,23:59,True
十齋日,2000/03/03,00:00,2000/03/03,23:59,True
十齋日,2000/03/04,00:00,2000/03/04,23:59,True
十齋日,2000/03/05,00:00,2000/03/05,23:59,True
十齋日,2000/03/06,00:00,2000/03/06,23:59,True
十齋日,2000/03/13,00:00,2000/03/13,23:59,True
十齋日,2000/03/19,00:00,2000/03/19,23:59,True
十齋日,2000/03/20,00:00,2000/03/20,23:59,True
十齋日,2000/03/23,00:00,2000/03/23,23:59,True
十齋日,2000/03/28,00:00,2000/03/28,23:59,True
十齋日,2000/03/29,00:00,2000/03/29,23:59,True
十齋日,2000/04/02,00:00,2000/04/02,23:59,True
十齋日,2000/04/03,00:00,2000/04/03,23:59,True
十齋日,2000/04/04,00:00,2000/04/04,23:59,True
十齋日,2000/04/05,00:00,2000/04/05,23:59,True
十齋日,2000/04/12,00:00,2000/04/12,23:59,True
十齋日,2000/04/18,00:00,2000/04/18,23:59,True
十齋日,2000/04/19,00:00,2000/04/19,23:59,True
十齋日,2000/04/22,00:00,2000/04/22,23:59,True
十齋日,2000/04/27,00:00,2000/04/27,23:59,True
十齋日,2000/04/28,00:00,2000/04/28,23:59,True
十齋日,2000/05/01,00:00,2000/05/01,23:59,True
十齋日,2000/05/02,00:00,2000/05/02,23:59,True
十齋日,2000/05/03,00:00,2000/05/03,23:59,True
十齋日,2000/05/04,00:00,2000/05/04,23:59,True
十齋日,2000/05/11,00:00,2000/05/11,23:59,True
十齋日,2000/05/17,00:00,2000/05/17,23:59,True
十齋日,2000/05/18,00:00,2000/05/18,23:59,True
十齋日,2000/05/21,00:00,2000/05/21,23:59,True
十齋日,2000/05/26,00:00,2000/05/26,23:59,True
十齋日,2000/05/27,00:00,2000/05/27,23:59,True
十齋日,2000/05/30,00:00,2000/05/30,23:59,True
十齋日,2000/05/31,00:00,2000/05/31,23:59,True
十齋日,2000/06/01,00:00,2000/06/01,23:59,True
十齋日,2000/06/02,00:00,2000/06/02,23:59,True
十齋日,2000/06/09,00:00,2000/06/09,23:59,True
十齋日,2000/06/15,00:00,2000/06/15,23:59,True
十齋日,2000/06/16,00:00,2000/06/16,23:59,True
十齋日,2000/06/19,00:00,2000/06/19,23:59,True
十齋日,2000/06/24,00:00,2000/06/24,23:59,True
十齋日,2000/06/25,00:00,2000/06/25,23:59,True
十齋日,2000/06/29,00:00,2000/06/29,23:59,True
十齋日,2000/06/30,00:00,2000/06/30,23:59,True
十齋日,2000/07/01,00:00,2000/07/01,23:59,True
十齋日,2000/07/02,00:00,2000/07/02,23:59,True
十齋日,2000/07/09,00:00,2000/07/09,23:59,True
十齋日,2000/07/15,00:00,2000/07/15,23:59,True
十齋日,2000/07/16,00:00,2000/07/16,23:59,True
十齋日,2000/07/19,00:00,2000/07/19,23:59,True
十齋日,2000/07/24,00:00,2000/07/24,23:59,True
十齋日,2000/07/25,00:00,2000/07/25,23:59,True
十齋日,2000/07/28,00:00,2000/07/28,23:59,True
十齋日,2000/07/29,00:00,2000/07/29,23:59,True
十齋日,2000/07/30,00:00,2000/07/30,23:59,True
十齋日,2000/07/31,00:00,2000/07/31,23:59,True
十齋日,2000/08/07,00:00,2000/08/07,23:59,True
十齋日,2000/08/13,00:00,2000/08/13,23:59,True
十齋日,2000/08/14,00:00,2000/08/14,23:59,True
十齋日,2000/08/17,00:00,2000/08/17,23:59,True
十齋日,2000/08/22,00:00,2000/08/22,23:59,True
十齋日,2000/08/23,00:00,2000/08/23,23:59,True
十齋日,2000/08/26,00:00,2000/08/26,23:59,True
十齋日,2000/08/27,00:00,2000/08/27,23:59,True
十齋日,2000/08/28,00:00,2000/08/28,23:59,True
十齋日,2000/08/29,00:00,2000/08/29,23:59,True
十齋日,2000/09/05,00:00,2000/09/05,23:59,True
十齋日,2000/09/11,00:00,2000/09/11,23:59,True
十齋日,2000/09/12,00:00,2000/09/12,23:59,True
十齋日,2000/09/15,00:00,2000/09/15,23:59,True
十齋日,2000/09/20,00:00,2000/09/20,23:59,True
十齋日,2000/09/21,00:00,2000/09/21,23:59,True
十齋日,2000/09/25,00:00,2000/09/25,23:59,True
十齋日,2000/09/26,00:00,2000/09/26,23:59,True
十齋日,2000/09/27,00:00,2000/09/27,23:59,True
十齋日,2000/09/28,00:00,2000/09/28,23:59,True
十齋日,2000/10/05,00:00,2000/10/05,23:59,True
十齋日,2000/10/11,00:00,2000/10/11,23:59,True
十齋日,2000/10/12,00:00,2000/10/12,23:59,True
十齋日,2000/10/15,00:00,2000/10/15,23:59,True
十齋日,2000/10/20,00:00,2000/10/20,23:59,True
十齋日,2000/10/21,00:00,2000/10/21,23:59,True
十齋日,2000/10/24,00:00,2000/10/24,23:59,True
十齋日,2000/10/25,00:00,2000/10/25,23:59,True
十齋日,2000/10/26,00:00,2000/10/26,23:59,True
十齋日,2000/10/27,00:00,2000/10/27,23:59,True
十齋日,2000/11/03,00:00,2000/11/03,23:59,True
十齋日,2000/11/09,00:00,2000/11/09,23:59,True
十齋日,2000/11/10,00:00,2000/11/10,23:59,True
十齋日,2000/11/13,00:00,2000/11/13,23:59,True
十齋日,2000/11/18,00:00,2000/11/18,23:59,True
十齋日,2000/11/19,00:00,2000/11/19,23:59,True
十齋日,2000/11/23,00:00,2000/11/23,23:59,True
十齋日,2000/11/24,00:00,2000/11/24,23:59,True
十齋日,2000/11/25,00:00,2000/11/25,23:59,True
十齋日,2000/11/26,00:00,2000/11/26,23:59,True
十齋日,2000/12/03,00:00,2000/12/03,23:59,True
十齋日,2000/12/09,00:00,2000/12/09,23:59,True
十齋日,2000/12/10,00:00,2000/12/10,23:59,True
十齋日,2000/12/13,00:00,2000/12/13,23:59,True
十齋日,2000/12/18,00:00,2000/12/18,23:59,True
十齋日,2000/12/19,00:00,2000/12/19,23:59,True
十齋日,2000/12/23,00:00,2000/12/23,23:59,True
十齋日,2000/12/24,00:00,2000/12/24,23:59,True
十齋日,2000/12/25,00:00,2000/12/25,23:59,True
十齋日,2000/12/26,00:00,2000/12/26,23:59,True
十齋日,2001/01/02,00:00,2001/01/02,23:59,True
十齋日,2001/01/08,00:00,2001/01/08,23:59,True
十齋日,2001/01/09,00:00,2001/01/09,23:59,True
十齋日,2001/01/12,00:00,2001/01/12,23:59,True
十齋日,2001/01/17,00:00,2001/01/17,23:59,True
十齋日,2001/01/18,00:00,2001/01/18,23:59,True
十齋日,2001/01/21,00:00,2001/01/21,23:59,True
十齋日,2001/01/22,00:00,2001/01/22,23:59,True
十齋日,2001/01/23,00:00,2001/01/23,23:59,True
十齋日,2001/01/24,00:00,2001/01/24,23:59,True
十齋日,2001/01/31,00:00,2001/01/31,23:59,True
